instance,iterations,tenure_flip,tenure_swap,stall,diversify,seed,best_value,total_weight,elapsed_ms,grid_wallclock_ms
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.3000,123,9989826827,9989822538,41,2254
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.3000,2026,9998357180,9998353192,41,2254
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.3000,42,9995356303,9995352910,28,2254
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.1000,2026,9995297202,9995292594,35,2254
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.3000,2026,9999886724,9999883437,26,2254
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.2000,123,9998357185,9998353074,35,2254
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.1000,123,9998827353,9998822863,27,2254
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.2000,123,9998357073,9998353031,27,2254
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.3000,2026,9998357180,9998353192,25,2254
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.2000,2026,9999357279,9999353123,40,2254
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.3000,42,9988826644,9988822288,30,2254
docs\inst_test\instancias\n_1000_1,100,15,7,20,0.1000,2026,9995297202,9995292594,28,2254
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.1000,2026,9995297202,9995292594,35,2254
docs\inst_test\instancias\n_1000_1,100,15,7,20,0.1000,42,9998297184,9998292639,31,2254
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.3000,123,9997886652,9997883428,39,2254
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.1000,42,9999297271,9999292847,39,2254
docs\inst_test\instancias\n_1000_1,100,15,7,20,0.2000,123,9996827320,9996822747,27,2254
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.2000,2026,9999357176,9999353151,38,2254
docs\inst_test\instancias\n_1000_1,100,15,7,20,0.3000,2026,9998357180,9998353192,26,2254
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.3000,123,9989826827,9989822538,39,2254
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.2000,42,9998827374,9998822833,43,2254
docs\inst_test\instancias\n_1000_1,100,15,10,5,0.2000,42,9998827387,9998822899,26,2254
