instance,iterations,tenure_flip,tenure_swap,stall,diversify,seed,best_value,total_weight,elapsed_ms,grid_wallclock_ms
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.3000,2026,9998357180,9998353192,19,5910
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.3000,42,9988826429,9988822479,30,5910
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.1000,2026,9999827425,9999822843,71,5910
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.1000,42,9999297471,9999292890,81,5910
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.3000,123,9999416581,9999413709,60,5910
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.1000,123,9999827379,9999822923,81,5910
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.3000,42,9999887034,9999883351,66,5910
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.2000,2026,9999357281,9999353085,68,5910
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.2000,42,9999357290,9999353138,86,5910
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.2000,123,9998886934,9998883463,80,5910
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.3000,2026,9999887007,9999883468,57,5910
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.1000,123,9999827379,9999822923,62,5910
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.2000,123,9998886934,9998883463,58,5910
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.1000,42,9999297471,9999292890,66,5910
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.2000,42,9998827387,9998822899,63,5910
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.1000,2026,9999827182,9999823283,68,5910
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.2000,2026,9999357281,9999353085,56,5910
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.3000,42,9999887034,9999883351,56,5910
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.3000,123,9999416581,9999413709,54,5910
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.3000,2026,9999887007,9999883468,53,5910
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.1000,123,9998827353,9998822863,62,5910
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.2000,42,9998827387,9998822899,59,5910
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.1000,42,9999297471,9999292890,67,5910
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.2000,2026,9999357281,9999353085,59,5910
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.1000,2026,9995297202,9995292594,65,5910
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.2000,123,9998357187,9998353072,60,5910
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.3000,42,9999887034,9999883351,61,5910
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.3000,123,9999416581,9999413709,52,5910
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.3000,2026,9999887007,9999883468,55,5910
docs\inst_test\instancias\n_1000_1,300,10,10,5,0.1000,123,9999827379,9999822923,65,5910
docs\inst_test\instancias\n_1000_1,300,10,10,5,0.2000,42,9999357290,9999353138,63,5910
docs\inst_test\instancias\n_1000_1,300,10,10,5,0.1000,42,9999297471,9999292890,67,5910
docs\inst_test\instancias\n_1000_1,300,10,10,5,0.1000,2026,9999827425,9999822843,66,5910
docs\inst_test\instancias\n_1000_1,300,10,10,5,0.2000,123,9998886934,9998883463,67,5910
docs\inst_test\instancias\n_1000_1,300,10,10,5,0.3000,42,9999887034,9999883351,56,5910
docs\inst_test\instancias\n_1000_1,300,10,10,5,0.2000,2026,9999357281,9999353085,59,5910
docs\inst_test\instancias\n_1000_1,300,10,10,5,0.3000,123,9999416581,9999413709,55,5910
docs\inst_test\instancias\n_1000_1,300,10,10,10,0.1000,123,9999827379,9999822923,61,5910
