instance,population_size,generations,crossover_rate,mutation_rate,elite_size,tournament_size,stagnation,seed,threads,initial_value,best_value,total_weight,optimal_value,difference,gap_percent,stop_generation,elapsed_s
n_1000_1,80,300,0.9500,0.0050,5,3,50,202,16,9999826150,9999827089,9999821431,9999946233,119144,0.001191,300,0.4264
n_1000_1,80,300,0.9500,0.0050,5,3,100,4,16,9999826041,9999826973,9999821464,9999946233,119260,0.001193,300,0.5080
n_1000_1,80,300,0.9500,0.0050,5,3,100,12,16,9999826005,9999826980,9999821354,9999946233,119253,0.001193,300,0.4164
n_1000_1,80,300,0.9500,0.0050,5,3,100,202,16,9999826150,9999827089,9999821431,9999946233,119144,0.001191,300,0.4099
n_1000_1,80,300,0.9500,0.0050,5,5,50,4,16,9999826041,9999827034,9999821651,9999946233,119199,0.001192,300,0.4034
n_1000_1,80,300,0.9500,0.0050,5,5,50,12,16,9999826005,9999827104,9999821572,9999946233,119129,0.001191,300,0.4112
n_1000_1,80,300,0.9500,0.0050,5,5,50,202,16,9999826150,9999827161,9999821623,9999946233,119072,0.001191,300,0.4097
n_1000_1,80,300,0.9500,0.0050,5,5,100,4,16,9999826041,9999827034,9999821651,9999946233,119199,0.001192,300,0.4117
n_1000_1,80,300,0.9500,0.0050,5,5,100,12,16,9999826005,9999827104,9999821572,9999946233,119129,0.001191,300,0.4352
n_1000_1,80,300,0.9500,0.0050,5,5,100,202,16,9999826150,9999827161,9999821623,9999946233,119072,0.001191,300,0.4092
n_1000_1,80,300,0.9500,0.0100,3,3,50,4,16,9999826041,9999826877,9999821058,9999946233,119356,0.001194,300,0.4337
n_1000_1,80,300,0.9500,0.0100,3,3,50,12,16,9999826005,9999827007,9999821266,9999946233,119226,0.001192,300,0.4257
n_1000_1,80,300,0.9500,0.0100,3,3,50,202,16,9999826150,9999826945,9999821274,9999946233,119288,0.001193,281,0.3892
n_1000_1,80,300,0.9500,0.0100,3,3,100,4,16,9999826041,9999826877,9999821058,9999946233,119356,0.001194,300,0.4207
n_1000_1,80,300,0.9500,0.0100,3,3,100,12,16,9999826005,9999827007,9999821266,9999946233,119226,0.001192,300,0.4222
n_1000_1,80,300,0.9500,0.0100,3,3,100,202,16,9999826150,9999826947,9999821201,9999946233,119286,0.001193,300,0.4378
n_1000_1,80,300,0.9500,0.0100,3,5,50,4,16,9999826041,9999827081,9999821584,9999946233,119152,0.001192,258,0.3852
n_1000_1,80,300,0.9500,0.0100,3,5,50,12,16,9999826005,9999827005,9999821532,9999946233,119228,0.001192,236,0.3376
n_1000_1,80,300,0.9500,0.0100,3,5,50,202,16,9999826150,9999827118,9999821348,9999946233,119115,0.001191,163,0.2324
n_1000_1,80,300,0.9500,0.0100,3,5,100,4,16,9999826041,9999827103,9999821645,9999946233,119130,0.001191,300,0.4395
