instance,ants,iterations,alpha,beta,rho,q,stall,seed,best_value,total_weight,elapsed_ms
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,2.0000,120,123,9990474367,9990473963,238
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,2.0000,50,2026,9991474269,9991473992,255
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,2.0000,120,42,9989474385,9989473979,259
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,0.5000,50,42,9991474359,9991474071,255
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,0.5000,50,123,9990474361,9990473975,254
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,2.0000,120,2026,9989474390,9989473991,260
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,0.5000,80,123,9990474336,9990474101,246
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,0.5000,80,42,9989474343,9989473968,251
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,0.5000,50,2026,9990474399,9990473911,259
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,0.5000,120,123,9990474323,9990473958,245
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,0.5000,80,2026,9989474385,9989473979,253
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,0.5000,120,42,9989474362,9989473946,257
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,1.0000,80,42,9989474343,9989473968,244
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,1.0000,80,2026,9989474385,9989473979,233
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,1.0000,50,42,9991474359,9991474071,254
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,0.5000,120,2026,9989474357,9989473974,259
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,1.0000,50,2026,9990474399,9990473911,256
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,1.0000,50,123,9990474361,9990473975,257
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,1.0000,80,123,9990474336,9990474101,252
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,1.0000,120,42,9989474362,9989473946,243
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,1.0000,120,2026,9989474357,9989473974,262
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,2.0000,50,42,9991474359,9991474071,259
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,1.0000,120,123,9990474323,9990473958,306
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,2.0000,50,123,9990474361,9990473975,262
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,2.0000,80,42,9989474343,9989473968,237
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,2.0000,120,42,9989474362,9989473946,232
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,2.0000,80,123,9990474336,9990474101,242
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,2.0000,50,2026,9990474399,9990473911,251
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,2.0000,80,2026,9989474385,9989473979,247
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,2.0000,120,123,9990474323,9990473958,250
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,2.0000,120,2026,9989474357,9989473974,260
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,0.5000,50,123,9990474361,9990473975,258
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,0.5000,50,2026,9989474385,9989473979,259
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,0.5000,50,42,9991474359,9991474071,269
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,1.0000,50,2026,9990474340,9990474053,229
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,0.5000,120,123,9990474323,9990473958,241
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,0.5000,80,42,9989474397,9989474009,263
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,0.5000,80,123,9990474374,9990474008,260
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,0.5000,120,2026,9989474357,9989473974,261
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,1.0000,120,123,9990474323,9990473958,239
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,1.0000,80,123,9990474374,9990474008,243
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,0.5000,120,42,9989474362,9989473946,267
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,1.0000,80,2026,9989474385,9989473979,247
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,0.5000,80,2026,9989474385,9989473979,272
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,1.0000,120,42,9989474362,9989473946,256
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,1.0000,80,42,9989474397,9989474009,260
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,1.0000,50,42,9991474359,9991474071,278
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,1.0000,50,123,9990474361,9990473975,275
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,2.0000,50,123,9990474361,9990473975,270
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,2.0000,50,42,9991474359,9991474071,273
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,1.0000,120,2026,9989474357,9989473974,274
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,2.0000,50,2026,9990474340,9990474053,275
